cmplx_smiles_neutral_std,Exp LgK1
O=C(O)C(O)c1ccccc1.[H+],3.25
O=P(O)(CNc1ccccc1)c1ccccc1O.[Ti+4],7.2
O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O.[Ag+],7.72
C[C@H](O)C(=O)O.[Cr+2],3.3
c1ccc2c(c1)OCCN1CCOCCOCCN(CCOCCOCC1)CCO2.[Li+],1.7
O=C(O)c1ccc2ccccc2n1.[Eu+3],2.59
O=C(O)CN(CC(=O)O)C1CCCCC1N(CC(=O)O)CC(=O)O.[Er+3],20.2
O=C(O)c1ccc(O)c(O)c1.[Nd+3],8.45
O=C(O)CP(=O)(O)c1ccccc1.[H+],4.95
O=C(O)COCC(=O)O.[H+],4.05
O=P(O)(O)C(Nc1ccccn1)P(=O)(O)O.[Mg+2],6.8
C=Cc1ccncc1.[Cd+2],1.6
O=P(O)(O)CN(CCN(CP(=O)(O)O)CP(=O)(O)O)CP(=O)(O)O.[Co+2],15.49
c1ccc2[nH]cnc2c1.[H+],5.58
O=C(O)[C@H](Cc1ccccc1)N=Cc1ccco1.[H+],8.41
[F-].[Mn+2],0.79
CCCC(=O)O.[H+],5.132
[Br-].[Pb+2],1.56
O=S([O-])([O-])=S.[Cd+2],3.2
C1COCCOCCNCCOCCOCCN1.[Zn+2],3.19
O=C(O)c1cc(C(=O)O)c(C(=O)O)cc1C(=O)O.[H+],6.23
O=C(O)c1ccc(C(=O)O)c(C(=O)O)c1.[Cd+2],1.88
CN(CCN)CCN.[H+],9.78
O=C(O)CN(CCN(CCN(CC(=O)O)CC(=O)O)CC(=O)O)CCN(CC(=O)O)CC(=O)O.[Co+3],49.5
CC(N)Cc1ccc(O)cc1.[Zn+2],7.28
O=C(O)c1cccc(C(=O)O)c1C(=O)O.[Ca+2],4.28
O=[N+]([O-])[O-].[Sn+2],0.15
Cc1ncc(CO)c(CN)c1O.[H+],10.4
NC(CC(=O)O)C(=O)O.[Be+2],6.56
O=C(O)CN(CCCOCCCN(CC(=O)O)CC(=O)O)CC(=O)O.[Sm+3],11.87
OCCN1CCOCCOCCN(CCO)CCOCCOCC1.[Cu+2],6.6
NC(CS)C(=O)O.[Tb+3],7.925
O=C(O)CN(CC(=O)O)CC(O)CN(CC(=O)O)CC(=O)O.[H+],9.7
O=C(O)CN(CC(=O)O)C1CCCCC1N(CC(=O)O)CC(=O)O.[Fm+3],19.7
NCCCNCCN.[Cu+2],16.6
OCCCc1cccnc1.[Co+2],1.18
O=C(O)c1cc(=O)[nH]c(=O)[nH]1.[Mg+2],3.89
Cc1ncc2ncn(C)c2n1.[Ni+2],1.26
C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O.[H+],9.681
O=C(O)C(O)(O)C(=O)O.[Dy+3],3.82
O=C(O)CN1CCN(CC(=O)O)Cc2cccc(n2)CN(CC(=O)O)CC1.[Gd+3],20.39
CCC(=O)O.[Gd+3],2.09
NCCNCCOCCNCCN.[H+],9.81
CCC(N)C(=O)O.[Ni+2],5.23
O=P(O)(O)C(NCc1ccccc1)c1ccccc1O.[H+],12.12
NC(CO)C(=O)O.[Cd+2],3.79
[Cl-].[Pb+2],1.24
