Triazine_ID,SMILES,Source_Hydrazide_SMILES
TRZ05541,CCOc1ccc(-c2cc(C(F)(F)F)cc(-c3nnc(C)c(C)n3)n2)cc1,CCOC1=CC=C(C=C1)C2=NC(=CC(=C2)C(F)(F)F)C(=O)NN
TRZ05542,CCOc1ccc(-c2cc(F)cc(-c3nnc(C)c(C)n3)n2)cc1,CCOC1=CC=C(C=C1)C2=NC(=CC(=C2)F)C(=O)NN
TRZ05543,Cc1nnc(-c2cccc(-c3ccc(OC(F)(F)F)cc3)n2)nc1C,C1=CC(=NC(=C1)C(=O)NN)C2=CC=C(C=C2)OC(F)(F)F
TRZ05544,Cc1nnc(-c2ccnc(-c3ccc(OC(F)(F)F)cc3)c2)nc1C,C1=CC(=CC=C1C2=NC=CC(=C2)C(=O)NN)OC(F)(F)F
TRZ05545,Cc1nnc(-c2cc(Oc3c(F)cc4[nH]ccc4c3C)ccc2F)nc1C,CC1=C2C=CNC2=CC(=C1OC3=CC(=C(C=C3)F)C(=O)NN)F
TRZ05546,Cc1nnc(-c2cc(-c3cncc(F)c3)cc(C(F)F)n2)nc1C,C1=C(C=C(N=C1C(F)F)C(=O)NN)C2=CC(=CN=C2)F
TRZ05547,Cc1ccncc1-c1cc(-c2nnc(C)c(C)n2)nc(C)c1F,CC1=C(C=NC=C1)C2=CC(=NC(=C2F)C)C(=O)NN
TRZ05548,Cc1ccc(F)c(C(C)C(c2nnc(C)c(C)n2)N2CCc3cc(Cl)ccc3S2(=O)=O)c1C,CC1=C(C(=C(C=C1)F)C(C)C(C(=O)NN)N2CCC3=C(S2(=O)=O)C=CC(=C3)Cl)C
TRZ05549,Cc1ccc(F)c(C(C)[C@@H](c2nnc(C)c(C)n2)N2CC(C)c3cc(Cl)ccc3S2(=O)=O)c1C,CC1CN(S(=O)(=O)C2=C1C=C(C=C2)Cl)[C@@H](C(C)C3=C(C=CC(=C3C)C)F)C(=O)NN
TRZ05550,Cc1ccc(F)c(C(C)[C@@H](c2nnc(C)c(C)n2)N2CCc3ccc(Cl)cc3S2(=O)=O)c1C,CC1=C(C(=C(C=C1)F)C(C)[C@@H](C(=O)NN)N2CCC3=C(S2(=O)=O)C=C(C=C3)Cl)C
