Triazine_ID,SMILES,MolWt,LogP,TPSA,HBD,HBA,RotatableBonds,AromaticRings,n_triazine_rings,mol,Has_Hydrazine,Has_Acyl_Hydrazide
TRZ00108,Cc1nnc(-c2nc[nH]c2C(=O)Nc2ccccn2)nc1C,295.31,1.53,109.34,2,6,3,3,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB27437AE0>,False,False
TRZ00109,CCn1cc(-c2nnc(C)c(C)n2)c(=O)c2cc(F)c(N3CCOCC3)cc21,383.43,2.47,73.14,0,6,3,3,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB27437B50>,False,False
TRZ00110,CCn1cc(-c2nnc(C)c(C)n2)c(=O)c2cc(F)c(N3CCCCC3)cc21,381.46,3.62,63.91,0,5,3,3,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB27437BC0>,False,False
TRZ00111,Cc1cc(C)cc(OCc2ccc(-c3nnc(C)c(C)n3)o2)c1,309.37,3.94,61.04,0,5,4,3,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB27437C30>,False,False
TRZ00112,Cc1nnc(-c2ccc(COc3ccc4ccccc4c3)o2)nc1C,331.38,4.48,61.04,0,5,4,4,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB27437CA0>,False,False
TRZ00113,COc1ccc(-c2cc(-c3nnc(C)c(C)n3)[nH]n2)cc1OC,311.35,2.56,85.81,1,6,4,3,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB27437D10>,False,False
TRZ00114,Cc1ccc(NC(=O)c2[nH]cnc2-c2nnc(C)c(C)n2)cc1,308.35,2.44,96.45,2,5,3,3,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB27437D80>,False,False
TRZ00115,Cc1nnc(-c2sc(-c3ccccc3)c(C#N)c2C)nc1C,306.39,4.06,62.46,0,5,2,3,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB27437DF0>,False,False
TRZ00116,COc1ccccc1OCc1ccc(-c2nnc(C)c(C)n2)o1,311.34,3.34,70.27,0,6,5,3,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB27437E60>,False,False
TRZ00117,Cc1nnc(-c2ccc(COc3ccc([N+](=O)[O-])cc3)o2)nc1C,326.31,3.24,104.18,0,7,5,3,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB27437ED0>,False,False
TRZ00118,Cc1nnc(-c2cccc(Cn3cc(Br)c([N+](=O)[O-])n3)c2)nc1C,389.21,3.07,99.63,0,6,4,3,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB27437F40>,False,False
TRZ00119,Cc1nnc(-c2ccc(COCC(F)(F)C(F)F)cc2)nc1C,329.3,3.57,47.9,0,4,6,2,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB27444040>,False,False
TRZ00120,Cc1cc(C)n(Cc2ccc(-c3nnc(C)c(C)n3)o2)n1,283.34,2.61,69.63,0,5,3,3,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB274440B0>,False,False
TRZ00121,Cc1nnc(-c2ccc(Cn3nc(C)c(Cl)c3C)o2)nc1C,317.78,3.26,69.63,0,5,3,3,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB27444120>,False,False
TRZ00122,COc1cccc2[nH]c(-c3nnc(C)c(C)n3)c(N)c12,269.31,2.23,89.71,2,5,2,3,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB27444190>,False,False
TRZ00123,Cc1nnc(-c2cccc(COCC(F)(F)C(F)F)c2)nc1C,329.3,3.57,47.9,0,4,6,2,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB27444200>,False,False
TRZ00124,Cc1ccc(-n2nc(-c3nnc(C)c(C)n3)c(C)c(C#N)c2=O)cc1Cl,366.81,2.84,97.35,0,6,2,3,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB27444270>,False,False
TRZ00126,Cc1nnc(-c2ccc(Cn3cccn3)o2)nc1C,255.28,1.99,69.63,0,5,3,3,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB274442E0>,False,False
TRZ00127,CCOc1ccc(OCc2ccc(-c3nnc(C)c(C)n3)o2)cc1,325.37,3.73,70.27,0,6,6,3,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB27444350>,False,False
TRZ00128,Cc1nnc(C(c2ccccc2)c2ccccc2)nc1C,275.36,3.67,38.67,0,3,3,3,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB274443C0>,False,False
TRZ00129,Cc1nnc(-c2ccncn2)nc1C,187.21,0.95,64.45,0,5,1,2,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB27444430>,False,False
TRZ00131,Cc1nnc(-c2[nH]c3ccccc3c2S(=O)(=O)c2ccccc2)nc1C,364.43,3.47,88.6,1,5,3,4,1,<rdkit.Chem.rdchem.Mol object at 0x000001CB274444A0>,False,False
